Amount,School Year,Region,Grade Level,Gender
"65,120",2017-2018,Region VI - Western Visayas,Grade 1,Male
"65,553",2017-2018,Region VII - Central Visayas,Grade 1,Male
"47,394",2017-2018,Region VIII - Eastern Visayas,Grade 1,Male
"39,404",2017-2018,Region IX - Zamboanga Peninsula,Grade 1,Male
"49,344",2017-2018,Region X - Northern Mindanao,Grade 1,Male
"44,925",2017-2018,Region XI - Davao Region,Grade 1,Male
"44,282",2017-2018,Region XII - Soccsksargen,Grade 1,Male
"29,002",2017-2018,CARAGA - CARAGA,Grade 1,Male
"47,311",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Male
"14,311",2017-2018,CAR - Cordillera Administrative Region,Grade 1,Male
"82,282",2017-2018,NCR - National Capital Region,Grade 1,Male
"36,991",2017-2018,Region I - Ilocos Region,Grade 1,Female
"27,608",2017-2018,Region II - Cagayan Valley,Grade 1,Female
"83,769",2017-2018,Region III - Central Luzon,Grade 1,Female
"103,955",2017-2018,Region IV-A - CALABARZON,Grade 1,Female
"29,949",2017-2018,Region IV-B - MIMAROPA,Grade 1,Female
"57,873",2017-2018,Region V - Bicol Region,Grade 1,Female
"58,585",2017-2018,Region VI - Western Visayas,Grade 1,Female
"58,832",2017-2018,Region VII - Central Visayas,Grade 1,Female
"42,143",2017-2018,Region VIII - Eastern Visayas,Grade 1,Female
"35,885",2017-2018,Region IX - Zamboanga Peninsula,Grade 1,Female
"44,834",2017-2018,Region X - Northern Mindanao,Grade 1,Female
"40,078",2017-2018,Region XI - Davao Region,Grade 1,Female
"41,194",2017-2018,Region XII - Soccsksargen,Grade 1,Female
"26,037",2017-2018,CARAGA - CARAGA,Grade 1,Female
"46,737",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Female
"12,815",2017-2018,CAR - Cordillera Administrative Region,Grade 1,Female
"75,616",2017-2018,NCR - National Capital Region,Grade 1,Female
"50,640",2018-2019,Region I - Ilocos Region,Grade 1,Male
"38,128",2018-2019,Region II - Cagayan Valley,Grade 1,Male
"115,039",2018-2019,Region III - Central Luzon,Grade 1,Male
"146,180",2018-2019,Region IV-A - CALABARZON,Grade 1,Male
"39,751",2018-2019,Region IV-B - MIMAROPA,Grade 1,Male
"78,605",2018-2019,Region V - Bicol Region,Grade 1,Male
"84,129",2018-2019,Region VI - Western Visayas,Grade 1,Male
"85,395",2018-2019,Region VII - Central Visayas,Grade 1,Male
"55,318",2018-2019,Region VIII - Eastern Visayas,Grade 1,Male
"46,728",2018-2019,Region IX - Zamboanga Peninsula,Grade 1,Male
"56,604",2018-2019,Region X - Northern Mindanao,Grade 1,Male
"57,293",2018-2019,Region XI - Davao Region,Grade 1,Male
"54,800",2018-2019,Region XII - Soccsksargen,Grade 1,Male
"33,764",2018-2019,CARAGA - CARAGA,Grade 1,Male
"47,316",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Male
"16,659",2018-2019,CAR - Cordillera Administrative Region,Grade 1,Male
"97,297",2018-2019,NCR - National Capital Region,Grade 1,Male
"45,980",2018-2019,Region I - Ilocos Region,Grade 1,Female
"35,048",2018-2019,Region II - Cagayan Valley,Grade 1,Female
"105,326",2018-2019,Region III - Central Luzon,Grade 1,Female
"133,925",2018-2019,Region IV-A - CALABARZON,Grade 1,Female
"36,066",2018-2019,Region IV-B - MIMAROPA,Grade 1,Female
"70,511",2018-2019,Region V - Bicol Region,Grade 1,Female
"76,196",2018-2019,Region VI - Western Visayas,Grade 1,Female
"77,423",2018-2019,Region VII - Central Visayas,Grade 1,Female
"50,744",2018-2019,Region VIII - Eastern Visayas,Grade 1,Female
"43,182",2018-2019,Region IX - Zamboanga Peninsula,Grade 1,Female
"52,261",2018-2019,Region X - Northern Mindanao,Grade 1,Female
"53,283",2018-2019,Region XI - Davao Region,Grade 1,Female
"50,552",2018-2019,Region XII - Soccsksargen,Grade 1,Female
"30,785",2018-2019,CARAGA - CARAGA,Grade 1,Female
"46,407",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Female
"15,175",2018-2019,CAR - Cordillera Administrative Region,Grade 1,Female
"89,392",2018-2019,NCR - National Capital Region,Grade 1,Female
"52,903",2019-2020,Region I - Ilocos Region,Grade 1,Male
"40,641",2019-2020,Region II - Cagayan Valley,Grade 1,Male
"121,503",2019-2020,Region III - Central Luzon,Grade 1,Male
"153,264",2019-2020,Region IV-A - CALABARZON,Grade 1,Male
"42,003",2019-2020,Region IV-B - MIMAROPA,Grade 1,Male
"79,607",2019-2020,Region V - Bicol Region,Grade 1,Male
"85,686",2019-2020,Region VI - Western Visayas,Grade 1,Male
"86,163",2019-2020,Region VII - Central Visayas,Grade 1,Male
"56,672",2019-2020,Region VIII - Eastern Visayas,Grade 1,Male
"48,169",2019-2020,Region IX - Zamboanga Peninsula,Grade 1,Male
"60,673",2019-2020,Region X - Northern Mindanao,Grade 1,Male
"58,339",2019-2020,Region XI - Davao Region,Grade 1,Male
"57,147",2019-2020,Region XII - Soccsksargen,Grade 1,Male
"35,951",2019-2020,CARAGA - CARAGA,Grade 1,Male
"49,013",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Male
"17,739",2019-2020,CAR - Cordillera Administrative Region,Grade 1,Male
"99,224",2019-2020,NCR - National Capital Region,Grade 1,Male
"49,278",2019-2020,Region I - Ilocos Region,Grade 1,Female
"38,025",2019-2020,Region II - Cagayan Valley,Grade 1,Female
"113,716",2019-2020,Region III - Central Luzon,Grade 1,Female
"143,035",2019-2020,Region IV-A - CALABARZON,Grade 1,Female
"37,991",2019-2020,Region IV-B - MIMAROPA,Grade 1,Female
"71,061",2019-2020,Region V - Bicol Region,Grade 1,Female
"78,475",2019-2020,Region VI - Western Visayas,Grade 1,Female
"78,877",2019-2020,Region VII - Central Visayas,Grade 1,Female
"52,393",2019-2020,Region VIII - Eastern Visayas,Grade 1,Female
"44,231",2019-2020,Region IX - Zamboanga Peninsula,Grade 1,Female
"56,257",2019-2020,Region X - Northern Mindanao,Grade 1,Female
"54,446",2019-2020,Region XI - Davao Region,Grade 1,Female
"53,798",2019-2020,Region XII - Soccsksargen,Grade 1,Female
"33,287",2019-2020,CARAGA - CARAGA,Grade 1,Female
"48,045",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Female
"16,705",2019-2020,CAR - Cordillera Administrative Region,Grade 1,Female
"92,449",2019-2020,NCR - National Capital Region,Grade 1,Female
"43,556",2020-2021,Region I - Ilocos Region,Grade 1,Male
"33,335",2020-2021,Region II - Cagayan Valley,Grade 1,Male
"104,009",2020-2021,Region III - Central Luzon,Grade 1,Male
"134,311",2020-2021,Region IV-A - CALABARZON,Grade 1,Male
"37,227",2020-2021,Region IV-B - MIMAROPA,Grade 1,Male
"71,493",2020-2021,Region V - Bicol Region,Grade 1,Male
"74,406",2020-2021,Region VI - Western Visayas,Grade 1,Male
"77,868",2020-2021,Region VII - Central Visayas,Grade 1,Male
"50,056",2020-2021,Region VIII - Eastern Visayas,Grade 1,Male
"44,646",2020-2021,Region IX - Zamboanga Peninsula,Grade 1,Male
"54,271",2020-2021,Region X - Northern Mindanao,Grade 1,Male
"51,677",2020-2021,Region XI - Davao Region,Grade 1,Male
"50,643",2020-2021,Region XII - Soccsksargen,Grade 1,Male
"31,849",2020-2021,CARAGA - CARAGA,Grade 1,Male
"46,842",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Male
"15,397",2020-2021,CAR - Cordillera Administrative Region,Grade 1,Male
"91,356",2020-2021,NCR - National Capital Region,Grade 1,Male
"38,008",2020-2021,Region I - Ilocos Region,Grade 1,Female
"28,820",2020-2021,Region II - Cagayan Valley,Grade 1,Female
"90,820",2020-2021,Region III - Central Luzon,Grade 1,Female
"119,040",2020-2021,Region IV-A - CALABARZON,Grade 1,Female
"32,213",2020-2021,Region IV-B - MIMAROPA,Grade 1,Female
"61,555",2020-2021,Region V - Bicol Region,Grade 1,Female
"65,255",2020-2021,Region VI - Western Visayas,Grade 1,Female
"69,012",2020-2021,Region VII - Central Visayas,Grade 1,Female
"43,623",2020-2021,Region VIII - Eastern Visayas,Grade 1,Female
"39,622",2020-2021,Region IX - Zamboanga Peninsula,Grade 1,Female
"48,299",2020-2021,Region X - Northern Mindanao,Grade 1,Female
"45,892",2020-2021,Region XI - Davao Region,Grade 1,Female
"45,953",2020-2021,Region XII - Soccsksargen,Grade 1,Female
"27,724",2020-2021,CARAGA - CARAGA,Grade 1,Female
"45,614",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 1,Female
"13,486",2020-2021,CAR - Cordillera Administrative Region,Grade 1,Female
"83,217",2020-2021,NCR - National Capital Region,Grade 1,Female
"35,815",2016-2017,Region I - Ilocos Region,Grade 10,Male
"21,387",2016-2017,Region II - Cagayan Valley,Grade 10,Male
"70,809",2016-2017,Region III - Central Luzon,Grade 10,Male
"86,780",2016-2017,Region IV-A - CALABARZON,Grade 10,Male
"21,462",2016-2017,Region IV-B - MIMAROPA,Grade 10,Male
"43,074",2016-2017,Region V - Bicol Region,Grade 10,Male
"52,062",2016-2017,Region VI - Western Visayas,Grade 10,Male
"47,493",2016-2017,Region VII - Central Visayas,Grade 10,Male
"32,216",2016-2017,Region VIII - Eastern Visayas,Grade 10,Male
"20,960",2016-2017,Region IX - Zamboanga Peninsula,Grade 10,Male
"24,663",2016-2017,Region X - Northern Mindanao,Grade 10,Male
"27,226",2016-2017,Region XI - Davao Region,Grade 10,Male
"26,145",2016-2017,Region XII - Soccsksargen,Grade 10,Male
"18,384",2016-2017,CARAGA - CARAGA,Grade 10,Male
"11,933",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Male
"9,501",2016-2017,CAR - Cordillera Administrative Region,Grade 10,Male
"73,018",2016-2017,NCR - National Capital Region,Grade 10,Male
"37,220",2016-2017,Region I - Ilocos Region,Grade 10,Female
"23,192",2016-2017,Region II - Cagayan Valley,Grade 10,Female
"75,212",2016-2017,Region III - Central Luzon,Grade 10,Female
"93,311",2016-2017,Region IV-A - CALABARZON,Grade 10,Female
"24,260",2016-2017,Region IV-B - MIMAROPA,Grade 10,Female
"49,517",2016-2017,Region V - Bicol Region,Grade 10,Female
"56,365",2016-2017,Region VI - Western Visayas,Grade 10,Female
"54,278",2016-2017,Region VII - Central Visayas,Grade 10,Female
"36,067",2016-2017,Region VIII - Eastern Visayas,Grade 10,Female
"25,201",2016-2017,Region IX - Zamboanga Peninsula,Grade 10,Female
"28,876",2016-2017,Region X - Northern Mindanao,Grade 10,Female
"31,719",2016-2017,Region XI - Davao Region,Grade 10,Female
"29,936",2016-2017,Region XII - Soccsksargen,Grade 10,Female
"20,032",2016-2017,CARAGA - CARAGA,Grade 10,Female
"16,876",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Female
"11,256",2016-2017,CAR - Cordillera Administrative Region,Grade 10,Female
"79,415",2016-2017,NCR - National Capital Region,Grade 10,Female
"36,474",2017-2018,Region I - Ilocos Region,Grade 10,Male
"22,098",2017-2018,Region II - Cagayan Valley,Grade 10,Male
"72,796",2017-2018,Region III - Central Luzon,Grade 10,Male
"90,581",2017-2018,Region IV-A - CALABARZON,Grade 10,Male
"22,948",2017-2018,Region IV-B - MIMAROPA,Grade 10,Male
"46,322",2017-2018,Region V - Bicol Region,Grade 10,Male
"53,864",2017-2018,Region VI - Western Visayas,Grade 10,Male
"49,795",2017-2018,Region VII - Central Visayas,Grade 10,Male
"33,856",2017-2018,Region VIII - Eastern Visayas,Grade 10,Male
"23,122",2017-2018,Region IX - Zamboanga Peninsula,Grade 10,Male
"26,363",2017-2018,Region X - Northern Mindanao,Grade 10,Male
"29,421",2017-2018,Region XI - Davao Region,Grade 10,Male
"27,843",2017-2018,Region XII - Soccsksargen,Grade 10,Male
"19,491",2017-2018,CARAGA - CARAGA,Grade 10,Male
"11,813",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Male
"9,872",2017-2018,CAR - Cordillera Administrative Region,Grade 10,Male
"73,270",2017-2018,NCR - National Capital Region,Grade 10,Male
"37,250",2017-2018,Region I - Ilocos Region,Grade 10,Female
"24,112",2017-2018,Region II - Cagayan Valley,Grade 10,Female
"75,971",2017-2018,Region III - Central Luzon,Grade 10,Female
"96,917",2017-2018,Region IV-A - CALABARZON,Grade 10,Female
"25,260",2017-2018,Region IV-B - MIMAROPA,Grade 10,Female
"52,297",2017-2018,Region V - Bicol Region,Grade 10,Female
"57,765",2017-2018,Region VI - Western Visayas,Grade 10,Female
"55,468",2017-2018,Region VII - Central Visayas,Grade 10,Female
"37,421",2017-2018,Region VIII - Eastern Visayas,Grade 10,Female
"27,128",2017-2018,Region IX - Zamboanga Peninsula,Grade 10,Female
"30,393",2017-2018,Region X - Northern Mindanao,Grade 10,Female
"34,100",2017-2018,Region XI - Davao Region,Grade 10,Female
"30,956",2017-2018,Region XII - Soccsksargen,Grade 10,Female
"21,067",2017-2018,CARAGA - CARAGA,Grade 10,Female
"15,863",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Female
"11,292",2017-2018,CAR - Cordillera Administrative Region,Grade 10,Female
"80,016",2017-2018,NCR - National Capital Region,Grade 10,Female
"38,203",2018-2019,Region I - Ilocos Region,Grade 10,Male
"23,230",2018-2019,Region II - Cagayan Valley,Grade 10,Male
"74,645",2018-2019,Region III - Central Luzon,Grade 10,Male
"93,385",2018-2019,Region IV-A - CALABARZON,Grade 10,Male
"23,857",2018-2019,Region IV-B - MIMAROPA,Grade 10,Male
"49,078",2018-2019,Region V - Bicol Region,Grade 10,Male
"56,881",2018-2019,Region VI - Western Visayas,Grade 10,Male
"53,002",2018-2019,Region VII - Central Visayas,Grade 10,Male
"35,269",2018-2019,Region VIII - Eastern Visayas,Grade 10,Male
"24,000",2018-2019,Region IX - Zamboanga Peninsula,Grade 10,Male
"27,854",2018-2019,Region X - Northern Mindanao,Grade 10,Male
"30,939",2018-2019,Region XI - Davao Region,Grade 10,Male
"28,283",2018-2019,Region XII - Soccsksargen,Grade 10,Male
"20,536",2018-2019,CARAGA - CARAGA,Grade 10,Male
"11,721",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Male
"10,207",2018-2019,CAR - Cordillera Administrative Region,Grade 10,Male
"74,145",2018-2019,NCR - National Capital Region,Grade 10,Male
"38,497",2018-2019,Region I - Ilocos Region,Grade 10,Female
"24,752",2018-2019,Region II - Cagayan Valley,Grade 10,Female
"78,918",2018-2019,Region III - Central Luzon,Grade 10,Female
"99,081",2018-2019,Region IV-A - CALABARZON,Grade 10,Female
"26,083",2018-2019,Region IV-B - MIMAROPA,Grade 10,Female
"55,170",2018-2019,Region V - Bicol Region,Grade 10,Female
"61,373",2018-2019,Region VI - Western Visayas,Grade 10,Female
"58,948",2018-2019,Region VII - Central Visayas,Grade 10,Female
"39,676",2018-2019,Region VIII - Eastern Visayas,Grade 10,Female
"28,329",2018-2019,Region IX - Zamboanga Peninsula,Grade 10,Female
"31,133",2018-2019,Region X - Northern Mindanao,Grade 10,Female
"35,734",2018-2019,Region XI - Davao Region,Grade 10,Female
"32,111",2018-2019,Region XII - Soccsksargen,Grade 10,Female
"21,985",2018-2019,CARAGA - CARAGA,Grade 10,Female
"16,014",2018-2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Female
"11,584",2018-2019,CAR - Cordillera Administrative Region,Grade 10,Female
"80,537",2018-2019,NCR - National Capital Region,Grade 10,Female
"39,473",2019-2020,Region I - Ilocos Region,Grade 10,Male
"23,925",2019-2020,Region II - Cagayan Valley,Grade 10,Male
"77,616",2019-2020,Region III - Central Luzon,Grade 10,Male
"97,877",2019-2020,Region IV-A - CALABARZON,Grade 10,Male
"25,249",2019-2020,Region IV-B - MIMAROPA,Grade 10,Male
"51,822",2019-2020,Region V - Bicol Region,Grade 10,Male
"58,161",2019-2020,Region VI - Western Visayas,Grade 10,Male
"55,813",2019-2020,Region VII - Central Visayas,Grade 10,Male
"37,298",2019-2020,Region VIII - Eastern Visayas,Grade 10,Male
"25,892",2019-2020,Region IX - Zamboanga Peninsula,Grade 10,Male
"29,809",2019-2020,Region X - Northern Mindanao,Grade 10,Male
"33,850",2019-2020,Region XI - Davao Region,Grade 10,Male
"30,075",2019-2020,Region XII - Soccsksargen,Grade 10,Male
"22,108",2019-2020,CARAGA - CARAGA,Grade 10,Male
"13,387",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Male
"10,767",2019-2020,CAR - Cordillera Administrative Region,Grade 10,Male
"75,269",2019-2020,NCR - National Capital Region,Grade 10,Male
"39,932",2019-2020,Region I - Ilocos Region,Grade 10,Female
"25,592",2019-2020,Region II - Cagayan Valley,Grade 10,Female
"81,843",2019-2020,Region III - Central Luzon,Grade 10,Female
"103,321",2019-2020,Region IV-A - CALABARZON,Grade 10,Female
"26,752",2019-2020,Region IV-B - MIMAROPA,Grade 10,Female
"57,705",2019-2020,Region V - Bicol Region,Grade 10,Female
"62,383",2019-2020,Region VI - Western Visayas,Grade 10,Female
"61,386",2019-2020,Region VII - Central Visayas,Grade 10,Female
"41,608",2019-2020,Region VIII - Eastern Visayas,Grade 10,Female
"30,596",2019-2020,Region IX - Zamboanga Peninsula,Grade 10,Female
"33,711",2019-2020,Region X - Northern Mindanao,Grade 10,Female
"39,158",2019-2020,Region XI - Davao Region,Grade 10,Female
"34,632",2019-2020,Region XII - Soccsksargen,Grade 10,Female
"23,464",2019-2020,CARAGA - CARAGA,Grade 10,Female
"17,088",2019-2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Female
"11,910",2019-2020,CAR - Cordillera Administrative Region,Grade 10,Female
"80,865",2019-2020,NCR - National Capital Region,Grade 10,Female
"42,587",2020-2021,Region I - Ilocos Region,Grade 10,Male
"27,241",2020-2021,Region II - Cagayan Valley,Grade 10,Male
"83,666",2020-2021,Region III - Central Luzon,Grade 10,Male
"107,937",2020-2021,Region IV-A - CALABARZON,Grade 10,Male
"27,734",2020-2021,Region IV-B - MIMAROPA,Grade 10,Male
"53,642",2020-2021,Region V - Bicol Region,Grade 10,Male
"67,493",2020-2021,Region VI - Western Visayas,Grade 10,Male
"59,547",2020-2021,Region VII - Central Visayas,Grade 10,Male
"41,623",2020-2021,Region VIII - Eastern Visayas,Grade 10,Male
"30,598",2020-2021,Region IX - Zamboanga Peninsula,Grade 10,Male
"34,486",2020-2021,Region X - Northern Mindanao,Grade 10,Male
"37,576",2020-2021,Region XI - Davao Region,Grade 10,Male
"34,565",2020-2021,Region XII - Soccsksargen,Grade 10,Male
"24,915",2020-2021,CARAGA - CARAGA,Grade 10,Male
"13,993",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Male
"11,578",2020-2021,CAR - Cordillera Administrative Region,Grade 10,Male
"77,699",2020-2021,NCR - National Capital Region,Grade 10,Male
"42,852",2020-2021,Region I - Ilocos Region,Grade 10,Female
"28,222",2020-2021,Region II - Cagayan Valley,Grade 10,Female
"87,501",2020-2021,Region III - Central Luzon,Grade 10,Female
"112,667",2020-2021,Region IV-A - CALABARZON,Grade 10,Female
"29,658",2020-2021,Region IV-B - MIMAROPA,Grade 10,Female
"58,887",2020-2021,Region V - Bicol Region,Grade 10,Female
"70,734",2020-2021,Region VI - Western Visayas,Grade 10,Female
"65,834",2020-2021,Region VII - Central Visayas,Grade 10,Female
"45,666",2020-2021,Region VIII - Eastern Visayas,Grade 10,Female
"35,583",2020-2021,Region IX - Zamboanga Peninsula,Grade 10,Female
"39,140",2020-2021,Region X - Northern Mindanao,Grade 10,Female
"43,006",2020-2021,Region XI - Davao Region,Grade 10,Female
"39,580",2020-2021,Region XII - Soccsksargen,Grade 10,Female
"26,185",2020-2021,CARAGA - CARAGA,Grade 10,Female
"18,103",2020-2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 10,Female
"12,431",2020-2021,CAR - Cordillera Administrative Region,Grade 10,Female
"83,546",2020-2021,NCR - National Capital Region,Grade 10,Female
"25,816",2016-2017,Region I - Ilocos Region,Grade 11,Male
"15,077",2016-2017,Region II - Cagayan Valley,Grade 11,Male
"38,705",2016-2017,Region III - Central Luzon,Grade 11,Male
"38,197",2016-2017,Region IV-A - CALABARZON,Grade 11,Male
"14,766",2016-2017,Region IV-B - MIMAROPA,Grade 11,Male
"30,947",2016-2017,Region V - Bicol Region,Grade 11,Male
"39,115",2016-2017,Region VI - Western Visayas,Grade 11,Male
"26,829",2016-2017,Region VII - Central Visayas,Grade 11,Male
"25,800",2016-2017,Region VIII - Eastern Visayas,Grade 11,Male
"11,431",2016-2017,Region IX - Zamboanga Peninsula,Grade 11,Male
"17,235",2016-2017,Region X - Northern Mindanao,Grade 11,Male
"14,337",2016-2017,Region XI - Davao Region,Grade 11,Male
"19,278",2016-2017,Region XII - Soccsksargen,Grade 11,Male
"11,664",2016-2017,CARAGA - CARAGA,Grade 11,Male
"5,978",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Male
"5,172",2016-2017,CAR - Cordillera Administrative Region,Grade 11,Male
"17,166",2016-2017,NCR - National Capital Region,Grade 11,Male
"25,809",2016-2017,Region I - Ilocos Region,Grade 11,Female
"16,440",2016-2017,Region II - Cagayan Valley,Grade 11,Female
"37,125",2016-2017,Region III - Central Luzon,Grade 11,Female
"37,699",2016-2017,Region IV-A - CALABARZON,Grade 11,Female
"15,975",2016-2017,Region IV-B - MIMAROPA,Grade 11,Female
"34,512",2016-2017,Region V - Bicol Region,Grade 11,Female
"40,205",2016-2017,Region VI - Western Visayas,Grade 11,Female
"30,531",2016-2017,Region VII - Central Visayas,Grade 11,Female
"26,594",2016-2017,Region VIII - Eastern Visayas,Grade 11,Female
"13,284",2016-2017,Region IX - Zamboanga Peninsula,Grade 11,Female
"18,375",2016-2017,Region X - Northern Mindanao,Grade 11,Female
"15,738",2016-2017,Region XI - Davao Region,Grade 11,Female
"19,706",2016-2017,Region XII - Soccsksargen,Grade 11,Female
"11,410",2016-2017,CARAGA - CARAGA,Grade 11,Female
"8,329",2016-2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Female
"5,639",2016-2017,CAR - Cordillera Administrative Region,Grade 11,Female
"17,097",2016-2017,NCR - National Capital Region,Grade 11,Female
"26,828",2017-2018,Region I - Ilocos Region,Grade 11,Male
"15,855",2017-2018,Region II - Cagayan Valley,Grade 11,Male
"37,581",2017-2018,Region III - Central Luzon,Grade 11,Male
"38,619",2017-2018,Region IV-A - CALABARZON,Grade 11,Male
"14,393",2017-2018,Region IV-B - MIMAROPA,Grade 11,Male
"31,989",2017-2018,Region V - Bicol Region,Grade 11,Male
"37,946",2017-2018,Region VI - Western Visayas,Grade 11,Male
"29,879",2017-2018,Region VII - Central Visayas,Grade 11,Male
"24,070",2017-2018,Region VIII - Eastern Visayas,Grade 11,Male
"12,172",2017-2018,Region IX - Zamboanga Peninsula,Grade 11,Male
"15,356",2017-2018,Region X - Northern Mindanao,Grade 11,Male
"14,915",2017-2018,Region XI - Davao Region,Grade 11,Male
"17,745",2017-2018,Region XII - Soccsksargen,Grade 11,Male
"12,763",2017-2018,CARAGA - CARAGA,Grade 11,Male
"5,806",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Male
"5,063",2017-2018,CAR - Cordillera Administrative Region,Grade 11,Male
"19,469",2017-2018,NCR - National Capital Region,Grade 11,Male
"27,151",2017-2018,Region I - Ilocos Region,Grade 11,Female
"16,917",2017-2018,Region II - Cagayan Valley,Grade 11,Female
"37,446",2017-2018,Region III - Central Luzon,Grade 11,Female
"39,232",2017-2018,Region IV-A - CALABARZON,Grade 11,Female
"16,341",2017-2018,Region IV-B - MIMAROPA,Grade 11,Female
"36,430",2017-2018,Region V - Bicol Region,Grade 11,Female
"40,114",2017-2018,Region VI - Western Visayas,Grade 11,Female
"33,278",2017-2018,Region VII - Central Visayas,Grade 11,Female
"26,470",2017-2018,Region VIII - Eastern Visayas,Grade 11,Female
"14,421",2017-2018,Region IX - Zamboanga Peninsula,Grade 11,Female
"17,384",2017-2018,Region X - Northern Mindanao,Grade 11,Female
"17,034",2017-2018,Region XI - Davao Region,Grade 11,Female
"19,899",2017-2018,Region XII - Soccsksargen,Grade 11,Female
"13,025",2017-2018,CARAGA - CARAGA,Grade 11,Female
"7,903",2017-2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Grade 11,Female
"5,981",2017-2018,CAR - Cordillera Administrative Region,Grade 11,Female
"19,049",2017-2018,NCR - National Capital Region,Grade 11,Female
"30,228",2018-2019,Region I - Ilocos Region,Grade 11,Male
"18,472",2018-2019,Region II - Cagayan Valley,Grade 11,Male
