Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Lower Secondary Education,2019,Europe,Republic of Moldova,15716,159427,10.14425
Lower Secondary Education,2019,Europe,Romania,67284,722269,10.73463
Lower Secondary Education,2019,Europe,San Marino,147,972,6.612245
Lower Secondary Education,2019,Europe,Serbia,36157,274657,7.596233
Lower Secondary Education,2019,Europe,Slovakia,23469,257904,10.98913
Lower Secondary Education,2019,Europe,Spain,144849,1678410,11.58731
Lower Secondary Education,2019,Europe,Sweden,36997,385953.2,10.43201
Lower Secondary Education,2019,Europe,Switzerland,30700,257495,8.387459
Lower Secondary Education,2019,Europe,United Kingdom of Great Britain and Northern Ireland,150540.9,2666913,17.71554
Lower Secondary Education,2019,North America,Bahamas,1073,13764,12.82759
Lower Secondary Education,2019,North America,Barbados,545,11023,20.22569
Lower Secondary Education,2019,North America,Belize,1804,30786,17.06541
Lower Secondary Education,2019,North America,Cayman Islands,159.8,2013,12.597
Lower Secondary Education,2019,North America,Costa Rica,22268,298368,13.39896
Lower Secondary Education,2019,North America,Cuba,36323,351128,9.666823
Lower Secondary Education,2019,North America,Guatemala,45064,778888,17.28404
Lower Secondary Education,2019,North America,Honduras,23602,449824,19.05872
Lower Secondary Education,2019,North America,Mexico,447732,8497636,18.97929
Lower Secondary Education,2019,North America,Saint Lucia,614,6690,10.89577
Lower Secondary Education,2019,North America,United States of America,868827,12783948,14.71403
Lower Secondary Education,2019,Oceania,Marshall Islands,477,2705,5.67086
Lower Secondary Education,2019,Oceania,Micronesia (Federated States of),584,3906,6.688356
Lower Secondary Education,2019,Oceania,Nauru,8,801,100.125
Lower Secondary Education,2019,Oceania,New Zealand,17772.78,262872,14.79071
Lower Secondary Education,2019,Oceania,Solomon Islands,1794,33483,18.66388
Lower Secondary Education,2019,Oceania,Tokelau,15,155,10.33333
Lower Secondary Education,2019,South America,Brazil,755425,13171006,17.43523
Lower Secondary Education,2019,South America,Chile,28749.77,501864,17.45628
Lower Secondary Education,2019,South America,Colombia,130913,3518783,26.87879
Lower Secondary Education,2019,South America,Ecuador,43314.81,988371,22.81831
Lower Secondary Education,2019,South America,Suriname,2860,37353,13.06049
