Level of Education,Year,Continent,Country,Number of teachers,Number of students,Ratio
Lower Secondary Education,2018,Europe,Republic of Moldova,16396,160232,9.772627
Lower Secondary Education,2018,Europe,Romania,68248,730037,10.69683
Lower Secondary Education,2018,Europe,San Marino,152,954,6.276316
Lower Secondary Education,2018,Europe,Serbia,36305,283160,7.799477
Lower Secondary Education,2018,Europe,Slovakia,23018,254233,11.04496
Lower Secondary Education,2018,Europe,Spain,139938,1662286,11.87873
Lower Secondary Education,2018,Europe,Sweden,36299,382256,10.53076
Lower Secondary Education,2018,Europe,Switzerland,30577,256131,8.37659
Lower Secondary Education,2018,Europe,United Kingdom of Great Britain and Northern Ireland,150036.6,2619718,17.46053
Lower Secondary Education,2018,North America,Bahamas,1078,13603,12.61874
Lower Secondary Education,2018,North America,Barbados,547,11195,20.46618
Lower Secondary Education,2018,North America,Belize,1775,30732,17.3138
Lower Secondary Education,2018,North America,Cayman Islands,164,1898,11.57317
Lower Secondary Education,2018,North America,Costa Rica,23423,293326,12.52299
Lower Secondary Education,2018,North America,Cuba,38560,374471,9.711385
Lower Secondary Education,2018,North America,El Salvador,11101,308565,27.79614
Lower Secondary Education,2018,North America,Grenada,438,5605,12.7968
Lower Secondary Education,2018,North America,Guatemala,65176,805074,12.35231
Lower Secondary Education,2018,North America,Puerto Rico,6551,109611,16.73195
Lower Secondary Education,2018,North America,Saint Lucia,608,6837,11.24507
Lower Secondary Education,2018,North America,United States of America,877106.7,12681766,14.45864
Lower Secondary Education,2018,Oceania,Micronesia (Federated States of),642,4212,6.560748
Lower Secondary Education,2018,Oceania,New Zealand,16951.69,253919,14.97898
Lower Secondary Education,2018,Oceania,Tuvalu,76,598,7.868421
Lower Secondary Education,2018,South America,Brazil,763031,13340212,17.48318
Lower Secondary Education,2018,South America,Chile,27644.01,501357,18.13619
Lower Secondary Education,2018,South America,Ecuador,42995.89,979570,22.78288
Lower Secondary Education,2018,South America,Suriname,2722,38703,14.21859
